id	name	symbol	name_synonyms	symbol_synonyms	description	genes	refs	GO_CC	GO_BP	GO_MF
FBgg0000355	TRANSCRIPTION FACTOR II A	TFIIA	General transcription factor TFIIA complex	TF-IIA	The general transcription factor complex Transcription factor II A (TFIIA) is not required for basal transcription but it stabilizes the TBP-DNA complex. TFIIA is RNA Pol II-specific and stimulates constitutive transcription and activated transcription. (Adapted from PMID:25693126).	P52654,Q9W5B9,P52656	10908585,7664336,7958898	transcription factor TFIIA complex ; GO:0005672	transcription initiation from RNA polymerase II promoter ; GO:0006367	RNA polymerase II general transcription initiation factor activity ; GO:0016251
FBgg0000347	TRANSCRIPTION FACTOR II D	TFIID	General transcription factor TFIID complex	TF-IID	The general transcription factor complex Transcription factor II D (TFIID) plays an important role in recruiting the transcription machinery to core promoters. TFIID is a complex composed of TBP and several TBP-associated factors. (Adapted from FBrf0125116 and FBrf0156065).	Q27294,A0A0B4KG69,Q9VM63,P51123,Q24325,Q9V4D4,P47825,P49846,P49847,Q9VHY5,Q9VWY6,Q27272,Q9XZT7,Q9U5W9,P49906,P49905,Q9VIP1,P20227	10908585,7923382,28273089,11963920	transcription factor TFIID complex ; GO:0005669	transcription initiation from RNA polymerase II promoter ; GO:0006367	RNA polymerase II general transcription initiation factor activity ; GO:0016251
FBgg0000348	TRANSCRIPTION FACTOR II E	TFIIE	General transcription factor TFIIE complex	TF-IIE	The general transcription factor complex Transcription factor II E (TFIIE) is required for the recruitment of TFIIH and promoter DNA opening. (Adapted from PMID:25693126).	O96880,O96881	10908585,8650170,9012800	transcription factor TFIIE complex ; GO:0005673	transcription initiation from RNA polymerase II promoter ; GO:0006367	-
FBgg0000349	TRANSCRIPTION FACTOR II F	TFIIF	General transcription factor TFIIF complex	TF-IIF	The general transcription factor complex Transcription factor II F (TFIIF) prevents non-specific interaction of RNA Pol II with DNA and stabilizes the pre-initiation complex (PIC), in particular stabilizing TFIIB within the PIC. (Adapted from PMID:25693126).	A0A0B4KG69,Q05913,P41900	10908585,8650170,7596813	transcription factor TFIIF complex ; GO:0005674	transcription initiation from RNA polymerase II promoter ; GO:0006367	TFIIF-class transcription factor complex binding ; GO:0001096
FBgg0000350	TRANSCRIPTION FACTOR II H	TFIIH	General transcription factor TFIIH complex|TFIIH holoenzyme	TF-IIH	The general transcription factor complex Transcription factor II H (TFIIH) is required in RNA pol II transcription at initiation, promoter escape, early elongation steps and transcription re-initiation after polymerase pausing. TFIIH can be divided into two subcomplexes: core and cyclin-dependent protein kinase-activating kinase (CAK). Only the TFIIH holoenzyme is transcription-competent. (Adapted from PMID:25693126, PMID:20419276, PMID:21592869).	Q02870,Q9VUR1,Q9VNP8,Q960E8,Q9VPX4,B7Z018,Q7KVP9,Q24216,O76513,Q7KPG8	19008953,10908585,15354295,25431422	transcription factor TFIIH holo complex ; GO:0005675	transcription initiation from RNA polymerase II promoter ; GO:0006367	RNA polymerase II general transcription initiation factor activity ; GO:0016251
FBgg0000357	TRANSCRIPTION FACTOR II H - CORE COMPLEX	TFIIH-C	-	TF-IIH core	The general transcription factor complex Transcription factor II H (TFIIH) core complex, is a subcomplex of the TFIIH holoenzyme required in RNA pol II transcription with an ATP-dependent DNA helicase activity required for promoter DNA opening. TFIIH also functions in nucleotide excision repair (NER). After complex loading and the verification step of NER, the cyclin-dependent protein kinase-activating kinase (CAK) subcomplex dissociates and the TFIIH core complex functions independently. (Adapted from PMID:25693126, PMID:21592869 and PMID:30798933).	Q02870,Q9VUR1,Q9VNP8,Q960E8,Q9VPX4,B7Z018,Q7KVP9	19008953,10908585,15354295,25431422	core TFIIH complex portion of holo TFIIH complex ; GO:0000438	transcription initiation from RNA polymerase II promoter ; GO:0006367	RNA polymerase II general transcription initiation factor activity ; GO:0016251
FBgg0000601	THO COMPLEX	THO-C	-	-	The THO complex is a multisubunit complex with a conserved evolutionary function in transcription and mRNA export. In D.mel, its depletion affects the expression and export of a subset of transcripts. (Adapted from FBrf0179407).	Q9VNI8,E2QCS8,Q9W1F4,Q9VTV1,Q8IRJ8	27036967,22178508,20048002,15133499	nucleoplasmic THO complex ; GO:0000446|THO complex part of transcription export complex ; GO:0000445	mRNA export from nucleus ; GO:0006406	-
FBgg0000287	TIP60 COMPLEX	TIP60	Nu4A complex|SWRI complex	Nu4A|SWRI	The Tip60 chromatin remodeling complex acetylates nucleosomal phospho-histone H2Av and exchanges it with unmodified H2Av. (Adapted from FBrf0185742).	P10981,Q7K012,Q9VAM5,Q7K3D8,Q9NDJ2,A0A0B4KFP2,Q9VRN3,Q9VM63,Q9VWS0,Q9Y0I1,Q7K003,Q8I8U7,Q9VH07,Q9V3K3,Q960X4,Q9VKM6	19355820	NuA4 histone acetyltransferase complex ; GO:0035267	histone acetylation ; GO:0016573|histone exchange ; GO:0043486	histone acetyltransferase activity ; GO:0004402
FBgg0000312	TORC REMODELING COMPLEX	TORC	TORC COMPLEX|Toutatis-containing chromatin remodeling complex	-	ToRC (Toutatis-containing chromatin remodeling complex) is ISWI ATPase-containing complex that facilitates nucleosome assembly. (Adapted from FBrf0217777).	O46036,Q24368,A8DYA3	22426536	ISWI-type complex ; GO:0031010	chromatin remodeling ; GO:0006338	-
FBgg0000906	TORC1 COMPLEX	TORC1	Tor Complex 1	mTORC1|TOR-C1	TOR complex 1 (TORC1) is a target of rapamycin (Tor) kinase-containing complex that mediates the response to a variety of stimuli including stress, insulin-like peptides and amino acids. TORC1 regulates processes such as translation, cell growth and autophagy. It can be inhibited by rapamycin. (Adapted from FBrf0238220).	Q9W437,Q9VK45	22493059	TORC1 complex ; GO:0031931	protein phosphorylation ; GO:0006468	protein serine/threonine kinase activity ; GO:0004674
FBgg0000908	TORC2 COMPLEX	TORC2	Tor Complex 2	mTORC2|TOR-C2	TOR complex 2 (TORC2) is a target of rapamycin (Tor) kinase-containing complex that phosphorylates several AGC family kinases, including Akt1 (PKB). mTORC2 regulates a variety of cellular processes such as insulin signaling and actin reorganization. It is insensitive to rapamycin. (Adapted from FBrf0238220).	Q9W328,Q9VWJ6,Q9V719,Q9VK45	23698095,17043309	TORC2 complex ; GO:0031932	protein phosphorylation ; GO:0006468	protein serine/threonine kinase activity ; GO:0004674
FBgg0001234	TRAPPII COMPLEX	TRAPPII	-	-	The TRAPPII complex is a Rab guanine nucleotide-exchange factor complex involved in ER-Golgi and intra-Golgi trafficking. (Adapted from FBrf0238107.)	Q9VSY8,Q9VA95,Q9VIL0,A1Z8I0,Q9VFB7,Q9VUZ1,Q9VLI9,Q7K2Q8,Q9VF82	25453831,29273580,19934220	TRAPPII protein complex ; GO:1990071	Golgi vesicle transport ; GO:0048193	guanyl-nucleotide exchange factor activity ; GO:0005085
FBgg0001235	TRAPPIII COMPLEX	TRAPPIII	-	-	The TRAPPIII complex is a Rab guanine nucleotide-exchange factor complex involved in ER-Golgi and intra-Golgi trafficking. (Adapted from FBrf0238107.)	Q9VSY8,Q9VA95,Q95TN1,A1Z8I0,Q9VPB6,Q8IRE3,Q9VW22,Q9VUZ1,Q9VLI9,Q7K2Q8,Q9VF82	25453831,29273580,19934220	TRAPPIII protein complex ; GO:1990072	Golgi vesicle transport ; GO:0048193	guanyl-nucleotide exchange factor activity ; GO:0005085
FBgg0000603	TRANSCRIPTION EXPORT COMPLEX	TREX	Transcription and export complex	-	The Transcription and export (TREX) complex is a multisubunit complex, which acts throughout RNA biogenesis to couple transcription with nuclear export. (Adapted from FBrf0233979 and PMID:27679854).	Q27268,Q9VNI8,Q9V3E7,Q9VHT2,E2QCS8,Q9W1F4,Q9VTV1,Q8IRJ8	27036967,22178508,15133499	transcription export complex ; GO:0000346	-	-
FBgg0000605	TRANSCRIPTION EXPORT COMPLEX-2	TREX-2	Anchoring and mRNA export complex|Transcription and export complex-2	AMEX|THSC/TREX-2	TREX-2 is a multisubunit complex required for mRNA export through the nuclear pore. TREX-2 colocalizes with the nuclear pore complex at the nuclear periphery. (Adapted from FBrf0232523 and FBrf0200574).	Q9VYX1,Q9VTL1,Q9U3V9	22989713,20048002,27016737,18034162	transcription export complex 2 ; GO:0070390	mRNA export from nucleus ; GO:0006406	-
FBgg0000315	TRR COMPLEX	TRR	COMPASS-Like complex|MLL3/4 complex|Trithorax-related complex proteins associated with Set1-LIKE|Trr methylase	MLL3/4	The Trithorax-related (Trr) complex  is a COMPASS-like complex that mediates the methylation of histone H3K4 and demethylation of histone H3K27. (Adapted from FBrf0216343 and FBrf0218498).	Q94545,Q9VKQ9,Q9W1H0,A8DYV5,Q9VYZ8,Q9VUB7,Q9VPH8,Q8IRW8,Q9VL07,Q9V3J8	23166019,21875999,27257261,22108599,22663077	MLL3/4 complex ; GO:0044666	histone H3-K4 methylation ; GO:0051568|histone H3-K27 demethylation ; GO:0071557	histone H3-tri/di-methyl-lysine-27 demethylase activity ; GO:0071558|histone methyltransferase activity (H3-K4 specific) ; GO:0042800
FBgg0000285	TRX COMPLEX	TRX-C	COMPASS-like complex|MLL1/2 complex|Myeloid/Lymphoid Leukemia1/2 Complex|Trithorax complex proteins associated with Set1-LIKE|Trx Methylase	TRX|MLL1/2	The Trithorax (Trx) complex is a COMPASS-like complex that mediates methylation of histone H3K4. (Adapted from FBrf0216343).	Q94545,Q9VKQ9,Q9V4C8,Q9VM47,Q9VPH8,P20659,Q9V3J8	21875999,27257261,22108599,22663077	MLL1/2 complex ; GO:0044665	histone H3-K4 methylation ; GO:0051568	histone methyltransferase activity (H3-K4 specific) ; GO:0042800
FBgg0000905	TSC1-TSC2 COMPLEX	TSC1-2C	Tuberous Sclerosis Complex	-	The Tsc1-Tsc2 complex is a heterodimeric GTPase Activating Protein (GAP) complex that negatively regulates mTOR (TORC1 complex) signaling. The Tsc1-Tsc2 complex stimulates the small GTPase, Rheb, to hydrolyze bound GTP to GDP. GTP-bound Rheb activates TORC1. (Adapted from FBrf0214848 and FBrf0136941).	Q9VW83,Q9VCC9	11390358	TSC1-TSC2 complex ; GO:0033596	negative regulation of TORC1 signaling ; GO:1904262	GTPase activator activity ; GO:0005096
FBgg0000901	TWS-PROTEIN PHOSOPHATASE 2A COMPLEX	TWS-PP2A	-	-	tws-PP2A is a serine/threonine phosphatase complex characterized by the presence of a tws regulatory B subunit. (Adapted from FBrf0232706.)	P23696,P36179,P36872	26980713	protein phosphatase type 2A complex ; GO:0000159	protein dephosphorylation ; GO:0006470	protein serine/threonine phosphatase activity ; GO:0004722
FBgg0000538	U2 SNRNP AUXILIARY FACTOR	U2AF	U2 small nuclear ribonucleoprotein particle auxiliary factor	-	U2AF is a heterodimeric complex that binds to the intron pyrimidine tract between the branchpoint and the 3' splice site and targets U2 snRNP to the branch site early in spliceosome assembly. (Adapted from FBrf0103091).	Q94535,Q24562	9632785	U2AF complex ; GO:0089701	mRNA splicing, via spliceosome ; GO:0000398	poly-pyrimidine tract binding ; GO:0008187
FBgg0000628	U7 SMALL NUCLEAR RIBONUCLEOPROTEIN PARTICLE	U7	-	U7 snRNP	The U7 snRNP involved in histone pre-mRNA 3' end processing consists of two core components: an U7 snRNA and an unusual heptameric Sm ring. (Adapted from FBrf0168021 and FBrf0208608).	A1Z8C4,A1Z802,Q05856,O44437,Q9VLV5,Q24297,URS000007EB5E_7227,Q9VXE0	14624008,16495235,19620235,11333025,24145821,27241916	U7 snRNP ; GO:0005683	mRNA 3'-end processing by stem-loop binding and cleavage ; GO:0006398	-
FBgg0001732	VCB COMPLEX	VCB	VHL-Elongin C-Elongin B complex	-	VCB complex (Vhl-EloC-EloB) is a member of a family of ubiquitin ligases that share a Cullin-Rbx module. VCB complex is a multiprotein complex, which consist of large modular assemblies comprising a RING domain, a scaffolding Cullin subunit, one or more adaptor proteins, and a substrate-recognition subunit. (Adapted from FBrf0129709, FBrf0240293 and PMID:15601820).	Q9V9R2,O44226,Q7JWD6,Q9W5E1,Q9V3C1	10851083,30308158,18184564	VCB complex ; GO:0030891	protein ubiquitination ; GO:0016567	-
FBgg0000043	VPS4-VTA1 COMPLEX	VSP4C	Vps4 ATPase complex|Vps4-Vta1 ATPase complex|Vta1-Vps4 Complex	Vta1-Vps4	The ESCRT (Endosomal Sorting Complexes Required for Transport) machinery is made up of five complexes, ESCRT-0 to -III and the Vps4-Vta1 ATPase complex, which are sequentially recruited to the cytosolic face of the membrane, and mediate cargo recognition, membrane budding and fission. The Vps4-Vta1 complex catalyzes disassembly of the ESCRT-III filament around the neck of the budding vesicle in an ATP-driven reaction, resulting in membrane scission and recycling of the ESCRT-III components back to the cytosol. (Adapted from PMID:22361144 and FBrf0209668).	Q9Y162,Q9W0B3	25486452,20059450	ESCRT IV complex ; GO:1990621	endosome transport via multivesicular body sorting pathway ; GO:0032509	-
FBgg0000508	WASP AND SCAR HOMOLOG COMPLEX	WASH-C	WASH core complex|WASH regulatory complex	SHRC	The WASP and SCAR Homologue complex (WASH-C) is a multi-subunit complex that activates Arp2/3-mediated actin nucleation. WASH-C contains the nucleation-promoting factor wash, a member of the WASP family. (Adapted from FBrf0232381 and PMID:19922875).	Q9VLT8,A1ZBW7,Q9VUY8,Q9VXH9,Q7JW27	20714399,20498093,27884932,25739458	WASH complex ; GO:0071203	-	-
FBgg0000907	WDB-PROTEIN PHOSOPHATASE 2A COMPLEX	WDB-PP2A	-	-	wdb-PP2A is a serine/threonine phosphatase complex characterized by the presence of a wdb regulatory B' subunit. (Adapted from FBrf0232706.)	P23696,P36179,A0A6F7R657	26980713	protein phosphatase type 2A complex ; GO:0000159	protein dephosphorylation ; GO:0006470	protein serine/threonine phosphatase activity ; GO:0004722
FBgg0000895	WNT ENHANCEOSOME	WNT-E	beta-catenin-TCF complex	-	The Wnt enhanceosome complex binds to Wnt/wg-enhancer elements via the TCF/LEF protein, pan. In the absence nuclear beta-catenin (arm), Wnt/wg-responsive genes are silenced by the repressor gro binding to the enhanceosome. Activation of the canonical Wnt signaling pathway leads to arm accumulation in the nucleus, incorporation into the enhanceosome and the stimulation of transcription. (Adapted from FBrf0235074 and FBrf0229654).	P18824,Q7KVG9,Q961D9,Q8IMA8,Q9V9W8,A0A0B4KGW6	26312500,28296634	beta-catenin-TCF complex ; GO:1990907	canonical Wnt signaling pathway ; GO:0060070|positive regulation of transcription by RNA polymerase II ; GO:0045944	-
FBgg0000492	WAVE REGULATORY COMPLEX	WRC	SCAR complex|Scar/WAVE complex|WAVE complex	WAVE	The WAVE Regulatory Complex (WRC) is a multi-subunit complex that controls actin cytoskeletal dynamics. WRC activates the Arp2/3-mediated actin nucleation. WRC contains the nucleation-promoting factor SCAR, a member of the WASP family. (Adapted from FBrf0208042 and FBrf0224564).	A0A0B4K774,Q9VF87,P55162,Q8MLQ0,F2FB81	24439376,24439377,19716703,19363480,24247431	SCAR complex ; GO:0031209	actin cytoskeleton organization ; GO:0030036	-
FBgg0000899	WRD-PROTEIN PHOSOPHATASE 2A COMPLEX	WRD-PP2A	-	-	wrd-PP2A is a serine/threonine phosphatase complex characterized by the presence of a wrd regulatory B' subunit. (Adapted from FBrf0232706.)	P23696,P36179,Q8IN89	26980713	protein phosphatase type 2A complex ; GO:0000159	protein dephosphorylation ; GO:0006470	protein serine/threonine phosphatase activity ; GO:0004722
